Janna,UTILITY,true,totalPingsPerMins,2.0864,0.984,1.638,2.729
Janna,UTILITY,true,allInPingsPerMins,0.0572,0.0,0.0,0.065
Janna,UTILITY,true,assistMePingsPerMins,0.1401,0.0,0.055,0.184
Janna,UTILITY,true,commandPingsPerMins,0.38,0.118,0.265,0.509
Janna,UTILITY,true,enemyMissingPingsPerMins,0.2794,0.077,0.187,0.363
Janna,UTILITY,true,enemyVisionPingsPerMins,0.2007,0.0,0.112,0.291
Janna,UTILITY,true,holdPingsPerMins,0.0,0.0,0.0,0.0
Janna,UTILITY,true,getBackPingsPerMins,0.1465,0.0,0.067,0.204
Janna,UTILITY,true,needVisionPingsPerMins,0.0094,0.0,0.0,0.0
Janna,UTILITY,true,onMyWayPingsPerMins,0.8457,0.288,0.638,1.151
Janna,UTILITY,true,pushPingsPerMins,0.0274,0.0,0.0,0.034
Janna,UTILITY,true,visionClearedPingsPerMins,0.0,0.0,0.0,0.0
Janna,UTILITY,true,basicPingsPerMins,0.0,0.0,0.0,0.0
Karma,UTILITY,true,totalPingsPerMins,2.1508,1.1143,1.8755,2.8105
Karma,UTILITY,true,allInPingsPerMins,0.0407,0.0,0.0,0.04
Karma,UTILITY,true,assistMePingsPerMins,0.1659,0.0,0.0875,0.224
Karma,UTILITY,true,commandPingsPerMins,0.4516,0.164,0.354,0.648
Karma,UTILITY,true,enemyMissingPingsPerMins,0.2975,0.0993,0.229,0.417
Karma,UTILITY,true,enemyVisionPingsPerMins,0.1941,0.029,0.115,0.2798
Karma,UTILITY,true,holdPingsPerMins,0.0,0.0,0.0,0.0
Karma,UTILITY,true,getBackPingsPerMins,0.1326,0.0,0.041,0.1907
Karma,UTILITY,true,needVisionPingsPerMins,0.0134,0.0,0.0,0.0
Karma,UTILITY,true,onMyWayPingsPerMins,0.8328,0.3093,0.6205,1.1348
Karma,UTILITY,true,pushPingsPerMins,0.0222,0.0,0.0,0.032
Karma,UTILITY,true,visionClearedPingsPerMins,0.0,0.0,0.0,0.0
Karma,UTILITY,true,basicPingsPerMins,0.0,0.0,0.0,0.0
Leona,UTILITY,true,totalPingsPerMins,2.4936,1.2655,2.194,3.3425
Leona,UTILITY,true,allInPingsPerMins,0.0575,0.0,0.0,0.054
Leona,UTILITY,true,assistMePingsPerMins,0.2043,0.033,0.111,0.288
Leona,UTILITY,true,commandPingsPerMins,0.4842,0.1635,0.38,0.6765
Leona,UTILITY,true,enemyMissingPingsPerMins,0.2897,0.082,0.208,0.3955
Leona,UTILITY,true,enemyVisionPingsPerMins,0.2458,0.037,0.167,0.349
Leona,UTILITY,true,holdPingsPerMins,0.0,0.0,0.0,0.0
Leona,UTILITY,true,getBackPingsPerMins,0.1955,0.0,0.078,0.2915
Leona,UTILITY,true,needVisionPingsPerMins,0.0125,0.0,0.0,0.0
Leona,UTILITY,true,onMyWayPingsPerMins,0.9735,0.4,0.789,1.3675
Leona,UTILITY,true,pushPingsPerMins,0.0305,0.0,0.0,0.0375
Leona,UTILITY,true,visionClearedPingsPerMins,0.0,0.0,0.0,0.0
Leona,UTILITY,true,basicPingsPerMins,0.0,0.0,0.0,0.0
Lulu,UTILITY,true,totalPingsPerMins,2.0018,0.9163,1.6575,2.645
Lulu,UTILITY,true,allInPingsPerMins,0.0429,0.0,0.0,0.038
Lulu,UTILITY,true,assistMePingsPerMins,0.1441,0.0,0.06,0.19
Lulu,UTILITY,true,commandPingsPerMins,0.3621,0.102,0.25,0.4925
Lulu,UTILITY,true,enemyMissingPingsPerMins,0.2854,0.073,0.193,0.377
Lulu,UTILITY,true,enemyVisionPingsPerMins,0.1927,0.0,0.109,0.295
Lulu,UTILITY,true,holdPingsPerMins,0.0,0.0,0.0,0.0
Lulu,UTILITY,true,getBackPingsPerMins,0.1264,0.0,0.036,0.186
Lulu,UTILITY,true,needVisionPingsPerMins,0.0114,0.0,0.0,0.0
Lulu,UTILITY,true,onMyWayPingsPerMins,0.8111,0.245,0.599,1.1498
Lulu,UTILITY,true,pushPingsPerMins,0.0257,0.0,0.0,0.032
Lulu,UTILITY,true,visionClearedPingsPerMins,0.0,0.0,0.0,0.0
Lulu,UTILITY,true,basicPingsPerMins,0.0,0.0,0.0,0.0
Lux,UTILITY,true,totalPingsPerMins,1.4301,0.6643,1.163,1.9435
Lux,UTILITY,true,allInPingsPerMins,0.009,0.0,0.0,0.0
Lux,UTILITY,true,assistMePingsPerMins,0.101,0.0,0.039,0.1435
Lux,UTILITY,true,commandPingsPerMins,0.3575,0.036,0.2465,0.5993
Lux,UTILITY,true,enemyMissingPingsPerMins,0.1643,0.05,0.113,0.2123
Lux,UTILITY,true,enemyVisionPingsPerMins,0.1589,0.0,0.0815,0.2398
Lux,UTILITY,true,holdPingsPerMins,0.0,0.0,0.0,0.0
Lux,UTILITY,true,getBackPingsPerMins,0.0532,0.0,0.0,0.0663
Lux,UTILITY,true,needVisionPingsPerMins,0.0059,0.0,0.0,0.0
Lux,UTILITY,true,onMyWayPingsPerMins,0.5703,0.107,0.333,0.87
Lux,UTILITY,true,pushPingsPerMins,0.01,0.0,0.0,0.0
Lux,UTILITY,true,visionClearedPingsPerMins,0.0,0.0,0.0,0.0
Lux,UTILITY,true,basicPingsPerMins,0.0,0.0,0.0,0.0
Maokai,UTILITY,true,totalPingsPerMins,1.9331,1.0785,1.643,2.5228
Maokai,UTILITY,true,allInPingsPerMins,0.0169,0.0,0.0,0.0
